rcv 	0.08	A	2001	0	1037
rcv 	0.08	A	2001	0	1038
snd 	0.08	D	1136	1	2001
snd 	0.08	D	1137	1	2001
rcv 	0.08	A	2001	0	1039
rcv 	0.08	A	2001	0	1040
rcv 	0.08	A	2001	0	1041
rcv 	0.08	A	2001	0	1042
snd 	0.08	D	1138	1	2001
snd 	0.08	D	1139	1	2001
snd 	0.08	D	1140	1	2001
snd 	0.08	D	1141	1	2001
rcv 	0.09	A	2001	0	1043
rcv 	0.09	A	2001	0	1044
snd 	0.09	D	1142	1	2001
snd 	0.09	D	1143	1	2001
rcv 	0.09	A	2001	0	1045
rcv 	0.09	A	2001	0	1046
snd 	0.09	D	1144	1	2001
snd 	0.09	D	1145	1	2001
rcv 	0.09	A	2001	0	1047
snd 	0.09	D	1146	1	2001
snd 	0.10	D	1047	1	2001
snd 	0.11	D	1047	1	2001
snd 	0.12	D	1047	1	2001
snd 	0.13	D	1047	1	2001
snd 	0.15	D	1047	1	2001
snd 	0.16	D	1047	1	2001
snd 	0.17	D	1047	1	2001
snd 	0.18	D	1047	1	2001
rcv 	0.19	A	2001	0	1048
snd 	0.19	D	1048	1	2001
rcv 	0.19	A	2001	0	1049
snd 	0.19	D	1147	1	2001
snd 	0.19	D	1148	1	2001
rcv 	0.19	A	2001	0	1050
rcv 	0.19	A	2001	0	1051
snd 	0.20	D	1149	1	2001
snd 	0.20	D	1150	1	2001
rcv 	0.21	A	2001	0	1052
rcv 	0.21	A	2001	0	1053
rcv 	0.21	A	2001	0	1054
rcv 	0.21	A	2001	0	1055
rcv 	0.21	A	2001	0	1056
rcv 	0.21	A	2001	0	1057
rcv 	0.21	A	2001	0	1058
rcv 	0.21	A	2001	0	1059
rcv 	0.21	A	2001	0	1060
rcv 	0.21	A	2001	0	1061
rcv 	0.21	A	2001	0	1062
rcv 	0.21	A	2001	0	1063
rcv 	0.21	A	2001	0	1064
rcv 	0.21	A	2001	0	1065
rcv 	0.21	A	2001	0	1066
snd 	0.21	D	1151	1	2001
snd 	0.21	D	1152	1	2001
snd 	0.21	D	1153	1	2001
snd 	0.21	D	1154	1	2001
snd 	0.21	D	1155	1	2001
snd 	0.21	D	1156	1	2001
snd 	0.21	D	1157	1	2001
snd 	0.21	D	1158	1	2001
snd 	0.21	D	1159	1	2001
snd 	0.21	D	1160	1	2001
snd 	0.21	D	1161	1	2001
snd 	0.21	D	1162	1	2001
snd 	0.21	D	1163	1	2001
snd 	0.21	D	1164	1	2001
snd 	0.21	D	1165	1	2001
rcv 	0.22	A	2001	0	1067
rcv 	0.22	A	2001	0	1068
rcv 	0.22	A	2001	0	1069
rcv 	0.22	A	2001	0	1070
snd 	0.22	D	1166	1	2001
snd 	0.22	D	1167	1	2001
snd 	0.22	D	1168	1	2001
snd 	0.22	D	1169	1	2001
rcv 	0.22	A	2001	0	1071
rcv 	0.22	A	2001	0	1072
snd 	0.22	D	1170	1	2001
snd 	0.22	D	1171	1	2001
rcv 	0.22	A	2001	0	1073
snd 	0.23	D	1172	1	2001
rcv 	0.23	A	2001	0	1074
rcv 	0.23	A	2001	0	1075
snd 	0.23	D	1173	1	2001
snd 	0.23	D	1174	1	2001
rcv 	0.23	A	2001	0	1076
rcv 	0.23	A	2001	0	1077
rcv 	0.23	A	2001	0	1078
rcv 	0.23	A	2001	0	1079
snd 	0.23	D	1175	1	2001
snd 	0.23	D	1176	1	2001
snd 	0.23	D	1177	1	2001
snd 	0.23	D	1178	1	2001
rcv 	0.23	A	2001	0	1080
rcv 	0.23	A	2001	0	1081
snd 	0.23	D	1179	1	2001
snd 	0.23	D	1180	1	2001
rcv 	0.23	A	2001	0	1082
rcv 	0.23	A	2001	0	1083
snd 	0.23	D	1181	1	2001
snd 	0.23	D	1182	1	2001
rcv 	0.23	A	2001	0	1084
snd 	0.23	D	1183	1	2001
rcv 	0.23	A	2001	0	1085
snd 	0.23	D	1184	1	2001
rcv 	0.23	A	2001	0	1086
snd 	0.23	D	1185	1	2001
rcv 	0.24	A	2001	0	1087
rcv 	0.24	A	2001	0	1088
snd 	0.24	D	1186	1	2001
snd 	0.24	D	1187	1	2001
rcv 	0.24	A	2001	0	1089
rcv 	0.24	A	2001	0	1090
snd 	0.24	D	1188	1	2001
snd 	0.24	D	1189	1	2001
snd 	0.25	D	1090	1	2001
snd 	0.26	D	1090	1	2001
snd 	0.27	D	1090	1	2001
snd 	0.28	D	1090	1	2001
snd 	0.29	D	1090	1	2001
snd 	0.30	D	1090	1	2001
snd 	0.31	D	1090	1	2001
snd 	0.32	D	1090	1	2001
snd 	0.33	D	1090	1	2001
snd 	0.34	D	1090	1	2001
rcv 	0.36	A	2001	0	1091
rcv 	0.36	A	2001	0	1092
rcv 	0.36	A	2001	0	1093
rcv 	0.36	A	2001	0	1094
rcv 	0.36	A	2001	0	1095
rcv 	0.36	A	2001	0	1096
rcv 	0.36	A	2001	0	1097
snd 	0.36	D	1190	1	2001
snd 	0.36	D	1191	1	2001
snd 	0.36	D	1192	1	2001
snd 	0.36	D	1193	1	2001
snd 	0.36	D	1194	1	2001
snd 	0.36	D	1195	1	2001
snd 	0.36	D	1196	1	2001
rcv 	0.37	A	2001	0	1098
rcv 	0.38	A	2001	0	1099
rcv 	0.38	A	2001	0	1100
snd 	0.38	D	1197	1	2001
snd 	0.38	D	1198	1	2001
snd 	0.38	D	1199	1	2001
rcv 	0.38	A	2001	0	1101
rcv 	0.38	A	2001	0	1101
rcv 	0.38	A	2001	0	1101
rcv 	0.38	A	2001	0	1102
rcv 	0.38	A	2001	0	1103
snd 	0.38	D	1200	1	2001
snd 	0.38	D	1201	1	2001
snd 	0.38	D	1202	1	2001
snd 	0.39	D	1103	1	2001
rcv 	0.39	A	2001	0	1104
rcv 	0.39	A	2001	0	1105
rcv 	0.40	A	2001	0	1106
snd 	0.40	D	1203	1	2001
snd 	0.40	D	1204	1	2001
snd 	0.40	D	1205	1	2001
